Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-14 14:11:48,aws,i-512235b6,default,1431616987,64.114
2015-05-14 14:11:51,aws,i-502235b7,default,1431616992,66.6632
2015-05-14 14:18:17,aws,i-242f38c3,default,1431617411,73.7875
2015-05-14 15:48:02,aws,i-fcccdb1b,default,1431622810,70.5257
2015-05-14 17:18:54,aws,i-dfecfb38,default,1431628195,61.4399
2015-05-14 20:18:08,aws,i-dea4b339,default,1431638958,74.1812
2015-05-14 20:47:58,aws,i-beaeb959,default,1431640717,66.0559
2015-05-14 23:18:00,aws,i-aa77614d,default,1431649756,65.8496
2015-05-15 00:48:01,aws,i-346177d3,default,1431655189,65.065
2015-05-15 06:18:09,aws,i-58c9dfbf,default,1431674971,75.3498
2015-05-14 11:49:02,aws,i-751f0892,default,1431608432,72.9589
2015-05-14 12:48:13,aws,i-b20a1d55,default,1431611986,74.7571
2015-05-14 14:11:51,aws,i-532235b4,default,1431616932,66.6664
2015-05-14 18:18:14,aws,i-cf998e28,default,1431631793,66.1324
2015-05-14 19:18:06,aws,i-bb889f5c,default,1431635366,74.7696
2015-05-14 21:48:37,aws,i-075147e0,default,1431644358,74.3202
2015-05-15 02:48:18,aws,i-3f0117d8,default,1431662400,65.5425
2015-05-14 15:17:58,aws,i-ecd9ce0b,default,1431620902,66.6433
2015-05-14 22:47:59,aws,i-a34d5b44,default,1431647953,75.6954
2015-05-15 01:17:57,aws,i-84140263,default,1431656909,66.3219
2015-05-14 11:48:47,aws,i-071007e0,default,1431608371,65.2852
2015-05-14 13:48:02,aws,i-32392ed5,default,1431615556,66.1398
2015-05-14 18:48:14,aws,i-c6819621,default,1431633570,66.245
2015-05-14 22:18:03,aws,i-4c4751ab,default,1431646168,74.3295
2015-05-15 05:48:11,aws,i-77c5d390,default,1431673152,66.6044
2015-05-15 03:18:06,aws,i-ac081e4b,default,1431664186,65.5978
2015-05-15 05:17:57,aws,i-abdfc94c,default,1431671320,66.2507
2015-05-14 13:18:16,aws,i-ba31265d,default,1431613761,63.8294
2015-05-14 14:48:02,aws,i-bbd6c15c,default,1431619184,66.2624
2015-05-14 16:48:04,aws,i-0fe7f0e8,default,1431626402,66.4581
2015-05-15 03:48:11,aws,i-ba30265d,default,1431665982,65.9243
2015-05-14 11:48:54,aws,i-a71e0940,default,1431608347,66.1965
2015-05-14 12:18:00,aws,i-180512ff,default,1431610174,63.6206
2015-05-14 16:18:00,aws,i-19f0e7fe,default,1431624556,66.1293
2015-05-14 17:48:05,aws,i-ca92852d,default,1431629977,65.8966
2015-05-14 19:49:50,aws,i-42bea9a5,default,1431637234,74.524
2015-05-14 21:18:02,aws,i-74574193,default,1431642553,66.3481
2015-05-14 23:47:45,aws,i-7d7e689a,default,1431651518,66.2855
2015-05-15 01:48:00,aws,i-2a1e08cd,default,1431658777,66.1911
2015-05-15 04:18:13,aws,i-bd26305a,default,1431667802,66.0599
2015-05-14 11:48:47,aws,i-601f0887,default,1431608346,66.2664
2015-05-15 00:18:05,aws,i-b1677156,default,1431653403,65.5902
2015-05-15 02:17:58,aws,i-7d07119a,default,1431660501,65.6564
2015-05-15 04:47:49,aws,i-3c2f39db,default,1431669545,66.249
2015-05-15 07:18:13,aws,i-16e1f7f1,default,1431678592,74.5214
2015-05-15 07:48:01,aws,i-359583d2,default,1431680357,74.5627
2015-05-15 08:18:04,aws,i-d2998f35,default,1431682209,73.1156
2015-05-15 08:48:03,aws,i-85819762,default,1431683957,66.0968
2015-05-15 09:18:05,aws,i-6bb5a38c,default,1431685756,74.6315
2015-05-15 09:47:57,aws,i-13bdabf4,default,1431687558,73.1042
