Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-05 22:49:38,aws,i-4dfcfbaa,default,1430871167,2.1458
2015-05-06 05:17:51,aws,i-527274b5,default,1430894473,1.0107
2015-05-06 00:48:18,aws,i-29a2a5ce,default,1430878264,1.7266
2015-05-05 20:49:11,aws,i-80d0d767,default,1430863983,1.5848
2015-05-06 02:49:32,aws,i-004f49e7,default,1430885707,2.0051
2015-05-08 10:49:13,aws,i-589496bf,default,1431087199,1.511
2015-05-10 02:47:56,aws,i-c7cbc420,default,1431231108,14.333
2015-05-08 20:48:33,aws,i-66e9e481,default,1431123250,1.853
2015-05-09 13:01:09,aws,i-35e0ecd2,default,1431181767,3.2656
2015-05-09 14:48:02,aws,i-f2858915,default,1431187903,3.0859
2015-05-09 18:47:58,aws,i-0d4847ea,default,1431202332,1.5025
2015-05-11 04:48:10,aws,i-eb444d0c,default,1431324788,10.078
2015-05-08 14:52:01,aws,i-6d626f8a,default,1431101780,1.6076
2015-05-09 04:47:47,aws,i-416a66a6,default,1431151817,1.9878
2015-05-09 06:52:19,aws,i-e5050902,default,1431159304,1.5475
2015-05-09 16:48:07,aws,i-5ca6aabb,default,1431195092,1.5052
2015-05-09 20:58:15,aws,i-106b64f7,default,1431210373,1.6707
2015-05-08 16:49:23,aws,i-b41a1753,default,1431108767,2.4764
2015-05-09 00:51:42,aws,i-e2a5a805,default,1431137788,7.0039
2015-05-09 02:48:02,aws,i-c7444820,default,1431144648,1.987
2015-05-10 04:48:10,aws,i-afebe448,default,1431238359,1.4922
2015-05-10 10:49:12,aws,i-e74f4100,default,1431260020,1.2469
2015-05-10 12:47:59,aws,i-e4505e03,default,1431267109,20.471
2015-05-10 18:55:35,aws,i-8a343a6d,default,1431289445,1.285
2015-05-11 00:48:02,aws,i-6b838d8c,default,1431310362,1.2943
2015-05-11 08:49:01,aws,i-6c2a238b,default,1431339214,1.5963
2015-05-08 22:48:15,aws,i-998b867e,default,1431130270,1.3379
2015-05-09 08:53:45,aws,i-ca202c2d,default,1431166803,3.7552
2015-05-09 22:50:45,aws,i-040d02e3,default,1431216975,1.9714
2015-05-10 06:59:42,aws,i-a5878842,default,1431246121,1.5807
2015-05-10 08:47:58,aws,i-8caaa56b,default,1431252606,4.565
2015-05-08 12:48:03,aws,i-d84c413f,default,1431094337,1.5463
2015-05-10 14:47:56,aws,i-ad737d4a,default,1431274393,1.4817
2015-05-11 02:51:19,aws,i-00a3ade7,default,1431317782,1.5766
2015-05-11 14:50:34,aws,i-0da4adea,default,1431360866,1.7375
2015-05-11 20:48:10,aws,i-032921e4,default,1431382350,1.457
2015-05-11 22:47:41,aws,i-8fccc468,default,1431389435,20.67
2015-05-10 00:47:53,aws,i-f32c2314,default,1431223855,2.013
2015-05-11 13:00:21,aws,i-3af5fcdd,default,1431354487,1.2871
2015-05-12 00:47:58,aws,i-aeeee649,default,1431396692,1.4531
2015-05-08 18:48:13,aws,i-39303dde,default,1431115902,1.5642
2015-05-09 10:49:30,aws,i-85c0cc62,default,1431173828,1.6974
2015-05-10 16:48:04,aws,i-20121cc7,default,1431281538,1.7213
2015-05-10 20:47:56,aws,i-a8dbd54f,default,1431295928,11.802
2015-05-10 22:48:00,aws,i-79e1ef9e,default,1431303073,1.6864
2015-05-11 16:48:05,aws,i-bc51595b,default,1431367871,1.4557
2015-05-11 18:50:32,aws,i-ed777f0a,default,1431375319,2.4322
2015-05-12 04:48:00,aws,i-59a0a8be,default,1431411426,1.4531
2015-05-11 10:49:02,aws,i-3ed9d0d9,default,1431346385,2.1326
2015-05-12 02:47:58,aws,i-52828ab5,default,1431403954,1.8146
