Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-03 17:33:29,aws,i-f4d5ee13,default,1430674440,29.8517
2015-05-04 10:03:35,aws,i-c1a09a26,default,1430733845,29.4489
2015-05-04 16:03:29,aws,i-d7171230,default,1430755439,29.7032
2015-05-06 00:04:51,aws,i-b4949353,default,1430870721,29.8708
2015-05-03 18:03:21,aws,i-07cef5e0,default,1430676231,29.6738
2015-05-04 06:03:10,aws,i-a7fec440,default,1430719419,29.4016
2015-05-03 20:02:55,aws,i-3ead96d9,default,1430683405,29.5469
2015-05-05 00:03:10,aws,i-40a5a0a7,default,1430784220,29.8246
2015-05-05 12:04:56,aws,i-25999dc2,default,1430827526,29.7956
2015-05-06 06:21:10,aws,i-b7161050,default,1430893311,40.2846
2015-05-04 00:03:17,aws,i-92695375,default,1430697827,29.4624
2015-05-04 12:03:06,aws,i-1085bff7,default,1430741017,29.5495
2015-05-04 20:03:10,aws,i-c8d9dc2f,default,1430769820,29.273
2015-05-05 04:03:04,aws,i-5b6367bc,default,1430798615,29.8027
2015-05-03 22:03:04,aws,i-788fb49f,default,1430690613,29.4158
2015-05-04 04:04:03,aws,i-0d2218ea,default,1430712273,29.7052
2015-05-05 14:03:39,aws,i-b54b4c52,default,1430834649,29.6398
2015-05-05 18:02:59,aws,i-0b2324ec,default,1430849009,29.5269
2015-05-06 02:02:54,aws,i-a4bcbb43,default,1430877804,29.6953
2015-05-04 02:03:02,aws,i-fc42781b,default,1430705011,29.3049
2015-05-04 14:03:19,aws,i-8d696c6a,default,1430748229,29.3299
2015-05-04 08:03:53,aws,i-6ccaf08b,default,1430726663,29.4049
2015-05-05 06:03:22,aws,i-ae171349,default,1430805832,29.4233
2015-05-05 20:03:43,aws,i-a0cdca47,default,1430856254,29.5588
2015-05-04 18:03:07,aws,i-9c3d387b,default,1430762617,29.2736
2015-05-04 22:03:09,aws,i-67f9fc80,default,1430777020,29.8396
2015-05-05 08:05:59,aws,i-d23b3f35,default,1430813190,29.5854
2015-05-05 16:03:02,aws,i-56797eb1,default,1430841812,29.2994
2015-05-05 02:03:05,aws,i-f1414516,default,1430791415,29.6264
2015-05-05 10:03:10,aws,i-67e9ed80,default,1430820220,29.3084
2015-05-06 12:03:11,aws,i-d7a0a630,default,1430913820,29.352
2015-05-06 14:04:00,aws,i-0a5a5bed,default,1430921070,29.2416
2015-05-06 20:04:48,aws,i-ade2e34a,default,1430942719,29.9954
2015-05-06 22:03:01,aws,i-9d8d8c7a,default,1430949812,29.538
2015-05-07 00:10:16,aws,i-15adacf2,default,1430957446,29.3849
2015-05-07 16:03:16,aws,i-401a19a7,default,1431014625,29.3899
2015-05-07 04:02:55,aws,i-ed71710a,default,1430971405,29.8398
2015-05-07 14:03:07,aws,i-c5616222,default,1431007416,28.9133
2015-05-07 06:02:52,aws,i-461e1ea1,default,1430978602,29.5608
2015-05-07 08:03:09,aws,i-c5d0d022,default,1430985819,29.5927
2015-05-07 10:03:14,aws,i-158181f2,default,1430993024,29.574
2015-05-07 02:03:07,aws,i-84505063,default,1430964217,29.5643
2015-05-07 12:03:22,aws,i-d7b2b230,default,1431000231,28.8613
2015-05-08 02:03:33,aws,i-b4545653,default,1431050643,29.9935
2015-05-07 20:03:05,aws,i-47e8eba0,default,1431029015,29.7035
2015-05-08 06:02:57,aws,i-ff232118,default,1431065007,30.1172
2015-05-08 00:02:47,aws,i-a6b1b241,default,1431043398,30.2405
2015-05-07 22:03:02,aws,i-898d8e6e,default,1431036212,29.5064
2015-05-08 04:02:49,aws,i-2b7b79cc,default,1431057800,30.0933
2015-05-08 08:03:03,aws,i-1dd1d3fa,default,1431072212,29.3063
