Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-03 22:19:06,aws,i-5082b9b7,default,1430692344,5.0025
2015-05-04 12:17:59,aws,i-7a43469d,default,1430742634,25.742
2015-05-04 22:18:16,aws,i-2e8683c9,default,1430778682,4.6406
2015-05-05 00:19:25,aws,i-d0a0a537,default,1430786026,1.3521
2015-05-05 14:18:17,aws,i-ac54534b,default,1430836293,5.9349
2015-05-04 10:18:22,aws,i-56a59fb1,default,1430735525,4.6926
2015-05-05 22:19:16,aws,i-95f4f372,default,1430865165,5.0389
2015-05-06 04:35:46,aws,i-586264bf,default,1430887735,1.9088
2015-05-03 20:46:29,aws,i-c69ba021,default,1430686780,4.5936
2015-05-04 06:18:11,aws,i-02f3c9e5,default,1430721068,1.901
2015-05-05 04:18:00,aws,i-a26f6b45,default,1430800240,25.973
2015-05-04 04:18:02,aws,i-30241ed7,default,1430713887,1.7239
2015-05-04 08:18:13,aws,i-36ccf6d1,default,1430728246,17.687
2015-05-05 16:19:31,aws,i-ca03042d,default,1430843570,1.9872
2015-05-04 00:18:57,aws,i-ed605a0a,default,1430699582,1.8333
2015-05-04 14:18:20,aws,i-66747181,default,1430749881,2.0937
2015-05-05 02:18:05,aws,i-134c48f4,default,1430793063,2.096
2015-05-05 06:19:24,aws,i-bd1e1a5a,default,1430807568,1.5728
2015-05-06 00:19:33,aws,i-9b9c9b7c,default,1430872357,23.315
2015-05-04 02:17:55,aws,i-be467c59,default,1430706660,4.2396
2015-05-04 16:18:23,aws,i-831d1864,default,1430757105,15.69
2015-05-04 18:19:14,aws,i-183e3bff,default,1430764396,1.8555
2015-05-04 20:18:02,aws,i-56e5e0b1,default,1430771478,1.6917
2015-05-05 10:21:41,aws,i-05f1f5e2,default,1430822121,1.8333
2015-05-06 02:19:37,aws,i-7f464098,default,1430879561,20.438
2015-05-05 08:19:20,aws,i-2ac1c5cd,default,1430814768,1.526
2015-05-05 12:20:47,aws,i-0fa0a4e8,default,1430829280,1.3755
2015-05-05 18:18:12,aws,i-ad2f284a,default,1430850687,4.6667
2015-05-05 20:19:15,aws,i-9ccacd7b,default,1430857951,4.9661
2015-05-06 12:18:23,aws,i-1fabadf8,default,1430915532,4.3488
2015-05-06 14:18:08,aws,i-90626377,default,1430922692,1.7344
2015-05-06 14:46:43,aws,i-996c6d7e,default,1430924392,24.225
2015-05-06 16:19:05,aws,i-e915140e,default,1430929902,25.897
2015-05-06 18:17:57,aws,i-46c1c0a1,default,1430937058,5.2265
2015-05-06 20:19:24,aws,i-64e6e783,default,1430944360,16.693
2015-05-06 22:19:26,aws,i-8f919068,default,1430951624,1.2942
2015-05-07 16:18:18,aws,i-cc23202b,default,1431016302,2.2916
2015-05-07 00:17:49,aws,i-d4b3b233,default,1430958648,23.937
2015-05-07 04:17:59,aws,i-93777774,default,1430973077,4.4244
2015-05-07 06:18:55,aws,i-be252559,default,1430980333,1.1499
2015-05-07 08:18:22,aws,i-fcd8d81b,default,1430987514,17.515
2015-05-07 10:19:35,aws,i-cd8a8a2a,default,1430994756,18.013
2015-05-07 14:18:08,aws,i-ce696a29,default,1431009104,2.0727
2015-05-08 00:17:54,aws,i-b7b4b750,default,1431045037,19.119
2015-05-07 02:19:25,aws,i-d4555533,default,1430965983,13.997
2015-05-07 18:18:18,aws,i-cac8cb2d,default,1431023599,1.8516
2015-05-07 12:19:34,aws,i-9db8b87a,default,1431002024,1.8215
2015-05-07 22:17:59,aws,i-70909397,default,1431037876,2.2707
2015-05-07 20:21:43,aws,i-98f2f17f,default,1431030891,1.9777
2015-05-08 04:21:25,aws,i-0c7f7deb,default,1431059677,1.8046
